"filename", "language", "Python", "CSV", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\entities.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 27
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\hitboxes.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\input.json", "JSON", 0, 0, 0, 0, 62, 0, 0, 62
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\items.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\level_data.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\obst_hitboxes.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\projectiles.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\towers.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 56
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\weapons.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\config\window.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\dagger_slash\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\death_sparks\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\king_slime_walk_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\knight_walk_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_die_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\mega_slime_walk_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_dust\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_idle_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\player_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_die_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_walk_down\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\animations\slime_walk_up\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\test\anim\idle\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\test\anim\player_idle_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\test\anim\player_walk_side\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\graphics\test\anim\walk\config.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\Tiled Files\tutorial.tmx", "XML", 0, 0, 0, 313, 0, 0, 1, 314
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\level0.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\collideables.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\decorations.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\ground.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\tutorial_Collideables.csv", "CSV", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\tutorial_Decorations.csv", "CSV", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\tutorial_Ground.csv", "CSV", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\data\maps\tutorial\tutorial_Path.csv", "CSV", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\game.py", "Python", 30, 0, 0, 0, 0, 4, 7, 41
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\scripts\animation_handler.py", "Python", 103, 0, 0, 0, 0, 0, 18, 121
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\scripts\assets.py", "Python", 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\scripts\builder_menu.py", "Python", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\scripts\camera.py", "Python", 59, 0, 0, 0, 0, 0, 12, 71
"c:\Users\nohan\Desktop\Projects\Original\Tower Defense\scripts\config.py", "Python", 7, 0, 0, 0, 0, 0, 3, 10
